name,slug,description,website_url,affiliate_url,is_popular,is_featured,category_names
Preply,preply,,https://preply.sjv.io/E0WLj4?subId1={tid}&subId2={aff_sub2},https://preply.sjv.io/E0WLj4?subId1={tid}&subId2={aff_sub2},TRUE,TRUE,Education
Namecheap,namecheap,,https://namecheap.pxf.io/PyqnqY?subId1={tid}&subId2={aff_sub2},https://namecheap.pxf.io/PyqnqY?subId1={tid}&subId2={aff_sub2},TRUE,TRUE,Software & Services
Vegas.com,vegas.com,,https://vegas.vdvm.net/9LdqLy?subId1={tid}&subId2={aff_sub2},https://vegas.vdvm.net/9LdqLy?subId1={tid}&subId2={aff_sub2},TRUE,TRUE,Travel
Nordvpn,nordvpn,,https://nordvpn.sjv.io/zNy2Wm?subId1={tid}&subId2={aff_sub2},https://nordvpn.sjv.io/zNy2Wm?subId1={tid}&subId2={aff_sub2},TRUE,TRUE,Software & Services
Wedtrend,wedtrend,,https://wedtrend.sjv.io/0G1gq3?subId1={tid}&subId2={aff_sub2},https://wedtrend.sjv.io/0G1gq3?subId1={tid}&subId2={aff_sub2},FALSE,FALSE,Fashion
Zapaka,zapaka,,https://hongkongpfettnetworktechnologycolimited.sjv.io/dyE2BQ?subId1={tid}&subId2={aff_sub2},https://hongkongpfettnetworktechnologycolimited.sjv.io/dyE2BQ?subId1={tid}&subId2={aff_sub2},FALSE,FALSE,Fashion
Genspark,genspark,,https://mainfuncpteltd.sjv.io/4aexQ0?subId1={tid}&subId2={aff_sub2},https://mainfuncpteltd.sjv.io/4aexQ0?subId1={tid}&subId2={aff_sub2},TRUE,TRUE,Software & Services
Airpaz,airpaz,,https://airpazlimited.sjv.io/9VrmXY?subId1={tid}&subId2={aff_sub2},https://airpazlimited.sjv.io/9VrmXY?subId1={tid}&subId2={aff_sub2},TRUE,TRUE,Travel
Nuleaf Naturals,nuleafnaturals,,https://nuleafnaturals.sjv.io/aN4b0q?subId1={tid}&subId2={aff_sub2},https://nuleafnaturals.sjv.io/aN4b0q?subId1={tid}&subId2={aff_sub2},TRUE,TRUE,Health & Beauty
